Company;SECTOR;MARKETCAP;EBITDA;EBIT;VE/EBITDA_T12M;MarkCap/BookValue;NetIncome;EV/SALES;FCF;INVENTORIES;TOTASSETS;PAYABLES_ACCRUALS;LS_DEBT;CAPITALSTOCK;InterestExpense;ROE;ROA;ROIC;CAPITALEXPEND;PROFMARGIN;LIABILITIES;REVENUE
PVH Corp.;Consumer Discretionary;6035.3301;1017.9;760.5;11.7513;1.3829;572.4;1.0744;641.3;1322.3;10673.8;1310;3194.2;-131;117;12.839;5.325;8.7409;-263.8;7.1369;6121.5;8020.3
Leggett & Platt;Consumer Discretionary;5718.7414;599.7;486.5;10.7096;5.2678;325.1;1.6343;255.9;504.6;2963.7;593.9;944.9;-167.5;41.1;29.1295;10.6515;22.9926;-103.2;8.2993;1866;3917.2
Target Corp.;Consumer Discretionary;44731.5093;7743;5530;8.2903;3.1958;3363;0.7092;4520;8601;40262;11646;12760;-3183;607;24.9536;8.2594;21.0912;-1438;4.5578;27305;73785
V.F. Corp.;Consumer Discretionary;26537.7404;506.6;426.8;14.3235;4.9282;1231.593;3.5082;275.9;442.4;3814.8;542.8;665.9;-411.7;11.6;23.1337;10.8014;18.2082;-80.4;15.395;4254.704;10996.393
Under Armour Class A;Consumer Discretionary;17396.919;509.487;408.547;35.1984;10.4284;232.573;4.5301;-286.94;783.031;2865.97;393.395;666.07;10.31;14.792;15.4097;9.376;20.0732;-301.481;5.8681;1197.748;3963.313
Whirlpool Corp.;Consumer Discretionary;11484.4167;1910;1242;8.1892;2.4213;783;0.7473;536;2619;19010;6236;3998;-212;165;16.2651;4.0141;12.3971;-689;3.748;13336;20891
Tapestry. Inc.;Consumer Discretionary;9083.1643;864.1;653.5;10.4319;3.648;460.5;2.4267;362.2;459.2;4892.7;800.6;876.2;20.1;32.9;17.8047;9.6343;19.515;-396.4;10.252;2209.8;4491.8
Procter & Gamble;Consumer Staples;216040.6824;16519;13441;16.6495;3.5019;10508;3.7643;12121;4716;127136;16774;30598;-1332;579;17.5228;8.1892;13.9581;-3314;16.0921;69153;65299
Coca-Cola Company (The);Consumer Staples;186832.4107;10698;8728;19.7475;7.3113;7351;4.7452;7975;2902;89996;9543;44116;-2319;856;26.3128;8.0772;11.3907;-2553;16.5959;64232;44294
Altria Group Inc;Consumer Staples;114131.1504;8586;8361;14.5166;39.6289;5241;6.6088;5614;2031;31459;7066;12847;-554;821;177.5025;15.8977;39.3126;-229;27.7978;28549;18854
CVS Health;Consumer Staples;108262.3966;11567;9475;11.5177;2.9106;5237;0.8651;6172;14001;92437;21972;27464;-4639;859;13.8649;6.286;15.2589;-2367;3.4164;55195;153290
Kraft Heinz Co;Consumer Staples;88291.0359;3379;2639;34.6952;1.5306;634;6.3951;624;2618;122973;5608;25230;10000;1321;-0.821;0.7948;3.6046;-648;3.4573;56737;18338
Mondelez International;Consumer Staples;71258.2698;9791;8897;8.6686;2.5438;7267;2.8501;2214;2609;62843;7368;15398;-3622;1415;26.0643;11.2133;18.4675;-1514;24.5209;34743;29636
